inputfile	id	genome	control	merge	tissue	factor	treatment	condition	replicate	report
/PathoFastQ/Example1.fq.gz	InputLiver1	mm9	NA	InputLiver	Liver	Input	NA	NA	NA	NA
/PathoFastQ/Example2.fq.gz	InputLiver2	mm9	NA	InputLiver	Liver	Input	NA	NA	NA	NA
/PathoFastQ/Example3.fq.gz	Neg.controlLiver1	mm9	NA	NegControlLiver	Liver	NegControl	NA	NA	NA	NA
/PathoFastQ/Example4.fq.gz	Neg.controlLiver2	mm9	NA	NegControlLiver	Liver	NegControl	NA	NA	NA	NA
/PathoFastQ/Example5.fq.gz	Flag.Hes6Liver1	mm9	NA	FlagSoroninLiver	Liver	Flag	NA	NA	NA	NA
/PathoFastQ/Example6.fq.gz	Flag.Hes6Liver2	mm9	NA	FlagSoroninLiver	Liver	Flag	NA	NA	NA	NA
/PathoFastQ/Example7.fq.gz	CTCF.brain1	mm9	NA	CTCFCyclingTH	Medulla.TH	CTCF	NA	NA	NA	NA
/PathoFastQ/Example8.fq.gz	CTCF.brain2	mm9	NA	CTCFCyclingTH	Medulla.TH	CTCF	NA	NA	NA	NA
/PathoFastQ/Example9.fq.gz	Input.brain1	mm9	NA	InputCyclingTH	Medulla.TH	Input	NA	NA	NA	NA
/PathoFastQ/Example10.fq.gz	Input.brain2	mm9	NA	InputCyclingTH	Medulla.TH	Input	NA	NA	NA	NA
/PathoFastQ/Example11.fq.gz	Nfkbeta.brain1	mm9	NA	NfkbetaCyclingTH	Medulla.TH	Nfkbeta	NA	NA	NA	NA
/PathoFastQ/Example12.fq.gz	Nfkbeta.brain2	mm9	NA	NfkbetaCyclingTH	Medulla.TH	Nfkbeta	NA	NA	NA	NA
/PathoFastQ/Example13.fq.gz	Medulla_CTCF	mm9	Medulla_Input	NA	Medulla.TH	CTCF	NA	NA	NA	Report
/PathoFastQ/Example14.fq.gz	Medulla_Input	mm9	NA	NA	Medulla.TH	Input	NA	NA	NA	Report
Merged	InputLiver	mm9	NA	NA	Liver	Input	NA	NA	NA	Report
Merged	NegControlLiver	mm9	InputLiver	NA	Liver	NegControl	NA	NA	NA	Report
Merged	FlagSoroninLiver	mm9	InputLiver	NA	Liver	Flag	NA	NA	NA	Report
Merged	CTCFCyclingTH	mm9	InputCyclingTH	NA	Medulla.TH	CTCF	NA	NA	NA	Report
Merged	InputCyclingTH	mm9	NA	NA	Medulla.TH	Input	NA	NA	NA	Report
Merged	NfkbetaCyclingTH	mm9	InputCyclingTH	NA	Medulla.TH	Nfkbeta	NA	NA	NA	Report
